code	ingredients_text
104	 émulsifiants : mono et diglycérides d’acides gras
104	 arôme
104	 Pâtisseries fourrées à la pulpe d'abricot : farine de blé
104	sirop de glucose-fructose
104	 sucre
104	 gélifiant : pectines
104	 arômes
104	 conservateur : sorbate de potassium
104	 huile de colza
104	 œufs frais
104	 sucre
104	 sirop de glucose-fructose
104	 stabilisant : glycérol
104	blé
104	 sel
104	 lait écrémé en poudre
104	 émulsifiants : mono et diglycérides d’acides gras
104	 arôme
104	 Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé
104	 fourrage fruits rouges 20% 
104	sirop de glucose-fructose
104	 purée de fraise 17
104	 sucre
104	 gélifiant : pectines
104	 correcteurs d’acidité : acide citrique - citrates de sodium
104	 arôme
104	 conservateur : sorbate de potassium
104	 huile de colza
104	 œufs frais
104	 sucre
104	 sirop de glucose-fructose
104	 stabilisant : glycérol
104	blé
104	 sel
104	 lait écrémé en poudre
104	 émulsifiants : mono et diglycérides d’acides gras
104	 arôme
11501	Sugar
11501	 Dextrose
11501	 Glucose
11501	 Peppermint Flavouring
11501	 Gelling Agent: Beef Gelatine
11501	 Menthol
11679	Wheatflour contains Gluten 
11679	With Wheatflour
11679	 Calcium Carbonate
11679	 Iron
11679	 Niacin
11679	 Thiamin
11679	 • Dark Chocolate Chunks 
11679	 • Sugar • Butter 
11679	Milk
11679	 • Milk Chocolate Chunks 
11679	 Sodium Bicarbonate
11686	Farine de _blé_ contient _Gluten_ 
11686	avec Farine de _blé_
11686	 Carbonate de calcium
11686	 Fer
11686	 Niacine
11686	 Thiamine
11686	 - Sucre - Beurre 
11686	_Lait_
11686	 - Raisins de Smyrne 
11686	 - Sirop de glucose - _Lait_ en poudre écrémé - Poudre à lever: E450
11686	 Bicarbonate de soude
11693	Morceaux de chocolat blanc 
11693	Sucre - _Lait_ en poudre entier -Beurre de cacao - _Lait_ en poudre écrémé émulsifiant : lécithine de _soja_
11693	 arôme vanille
11693	 - Farine de _blé_ 
11693	avec Farine de _blé_
11693	 Carbonate de calcium
11693	 Fer
11693	 Niacine
11693	 Thiamine
